Region,Period End,PeriodEnd,Is New Construction Transaction,HomesSold,TotalHomesSold
"Richmond, VA metro area",9/30/2019,2019.9,Existing,4825,5357
"Richmond, VA metro area",8/31/2019,2019.8,Existing,5328,5882
"Richmond, VA metro area",7/31/2019,2019.7,Existing,5394,5922
"Richmond, VA metro area",6/30/2019,2019.6,Existing,4923,5446
"Richmond, VA metro area",5/31/2019,2019.5,Existing,4383,4900
"Richmond, VA metro area",4/30/2019,2019.4,Existing,3576,4032
"Richmond, VA metro area",3/31/2019,2019.3,Existing,3126,3538
"Richmond, VA metro area",2/28/2019,2019.2,Existing,2887,3306
"Richmond, VA metro area",1/31/2019,2019.1,Existing,3146,3612
"Richmond, VA metro area",12/31/2018,2018.12,Existing,3582,4113
"Richmond, VA metro area",11/30/2018,2018.11,Existing,3666,4176
"Richmond, VA metro area",10/31/2018,2018.10,Existing,4166,4702
"Richmond, VA metro area",9/30/2018,2018.9,Existing,4590,5127
"Richmond, VA metro area",8/31/2018,2018.8,Existing,5306,5888
"Richmond, VA metro area",7/31/2018,2018.7,Existing,5239,5784
"Richmond, VA metro area",6/30/2018,2018.6,Existing,4925,5461
"Richmond, VA metro area",5/31/2018,2018.5,Existing,4395,4912
"Richmond, VA metro area",4/30/2018,2018.4,Existing,3675,4182
"Richmond, VA metro area",3/31/2018,2018.3,Existing,3124,3597
"Richmond, VA metro area",2/28/2018,2018.2,Existing,3027,3587
"Richmond, VA metro area",1/31/2018,2018.1,Existing,3371,3990
