SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE http://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
MLS Listing,,Townhouse,7502 Broach Dr,Richmond,VA,23225,219000,3,3.5,Southampton Hills,2010,2178,1985,4,109,225,Active,,,http://www.redfin.com/VA/Richmond/7502-Broach-Dr-23225/home/55397650,CVRMLS,2009569,N,Y,37.5418961,-77.5323789
MLS Listing,,Single Family Residential,1909 Sharbel Cir,Glen Allen,VA,23059,429000,4,3.5,Maron Heights,2365,13503,2019,6,181,,Active,,,http://www.redfin.com/VA/Glen-Allen/1909-Sharbel-Cir-23059/home/59610363,CVRMLS,2009288,N,Y,37.669091,-77.478261
MLS Listing,,Single Family Residential,5407 Park Ave,Richmond,VA,23226,379000,5,3,Westwood,2559,12196,1975,25,148,,Active,,,http://www.redfin.com/VA/Richmond/5407-Park-Ave-23226/home/59861233,CVRMLS,2006816,N,Y,37.5783598,-77.5101365
MLS Listing,,Single Family Residential,2521 O St,Richmond,VA,23223,395000,3,3.5,,2002,1306,2018,38,197,,Active,,,http://www.redfin.com/VA/Richmond/2521-O-St-23223/home/55408932,CVRMLS,2005235,N,Y,37.536263,-77.413227
MLS Listing,,Single Family Residential,1335 Burning Tree Rd,Henrico,VA,23231,150000,2,1,Media Park,1273,41382,1950,1,118,,Active,,,http://www.redfin.com/VA/Richmond/1335-Burning-Tree-Rd-23231/home/59695328,CVRMLS,2009900,N,Y,37.4590018,-77.3958022
MLS Listing,,Single Family Residential,121 Carnation St,Richmond,VA,23225,170000,3,2,Pine Hurst,1032,16117,2004,1,165,,Active,,,http://www.redfin.com/VA/Richmond/121-Carnation-St-23225/home/55401925,CVRMLS,2009990,N,Y,37.500887,-77.5165219
MLS Listing,,Single Family Residential,2823 5th Ave,Richmond,VA,23222,116000,2,1,,864,8712,1920,1,134,,Active,,,http://www.redfin.com/VA/Richmond/2823-5th-Ave-23222/home/55419576,CVRMLS,2009910,N,Y,37.5664434,-77.416014
MLS Listing,,Single Family Residential,3848 Danewood Dr,Richmond,VA,23233,384900,4,2.5,Langtree At Wellesley,2248,11325,1992,1,171,80,Active,,,http://www.redfin.com/VA/Richmond/3848-Danewood-Dr-23233/home/59625123,CVRMLS,2009909,N,Y,37.6499262,-77.6283076
MLS Listing,,Single Family Residential,32 E Gray St,Sandston,VA,23150,159950,3,1,Sandston,982,11325,1951,1,163,,Active,,,http://www.redfin.com/VA/Sandston/32-E-Gray-St-23150/home/59688842,CVRMLS,2008404,N,Y,37.5174688,-77.3112533
MLS Listing,,Single Family Residential,4103 Sulgrave Rd,Richmond,VA,23221,1720000,6,5.5,Windsor Farms,6599,23086,1941,1,261,40,Active,,,http://www.redfin.com/VA/Richmond/4103-Sulgrave-Rd-23221/home/55452629,CVRMLS,2009899,N,Y,37.5525174,-77.4991778
MLS Listing,,Single Family Residential,,Richmond,VA,23223,155000,2,2,,864,4356,1941,1,179,,Active,,,http://www.redfin.com/VA/Richmond/Undisclosed-address-23223/home/55413469,CVRMLS,2009825,N,Y,37.533947,-77.4009523
MLS Listing,,Single Family Residential,13313 Edmonton Dr,Midlothian,VA,23113,848000,5,4.5,Tarrington,4764,20473,2020,1,178,79,Active,,,http://www.redfin.com/VA/Midlothian/13313-Edmonton-Dr-23113/home/59478894,CVRMLS,2009769,N,Y,37.550263,-77.641362
MLS Listing,,Single Family Residential,10101 Huntersdell Ln,North Chesterfield,VA,23235,259950,4,2.5,Bon Air Estates,1756,13939,1987,1,148,,Active,,,http://www.redfin.com/VA/Richmond/10101-Huntersdell-Ln-23235/home/59528015,CVRMLS,2009956,N,Y,37.5099754,-77.5805464
MLS Listing,,Single Family Residential,106 Burgoyne Rd,Henrico,VA,23229,615000,5,3.5,Georges Bluff,3530,26571,1986,1,174,12,Active,,,http://www.redfin.com/VA/Richmond/106-Burgoyne-Rd-23229/home/59664387,CVRMLS,2009417,N,Y,37.5864762,-77.5987892
MLS Listing,,Townhouse,,Highland Springs,VA,23075,89900,3,3,,1007,2178,1975,1,89,139,Active,,,http://www.redfin.com/VA/Highland-Springs/Undisclosed-address-23075/home/59685430,CVRMLS,2009778,N,Y,37.533664,-77.311312
MLS Listing,,Single Family Residential,3220 E Weyburn Rd,Richmond,VA,23235,325000,4,3,Oxford,2683,41382,1960,1,121,,Active,,,http://www.redfin.com/VA/Richmond/3220-E-Weyburn-Rd-23235/home/55395282,CVRMLS,2009760,N,Y,37.5423903,-77.5471862
MLS Listing,,Single Family Residential,313 Obrien Rd,Henrico,VA,23227,215000,3,2.5,Huntington Place,1471,11325,2010,1,146,,Active,,,http://www.redfin.com/VA/Richmond/313-Obrien-Rd-23227/home/59656629,CVRMLS,2009512,N,Y,37.6068815,-77.4334876
MLS Listing,,Condo/Co-op,5549 Forest Hill Ave,Richmond,VA,23225,159000,2,2.5,Colonial Green Condominiums,1160,871,1982,1,137,207,Active,,,http://www.redfin.com/VA/Richmond/5549-Forest-Hill-Ave-23225/home/55398342,CVRMLS,2009863,N,Y,37.5275756,-77.5011267
