Region,Period End,Is New Construction Transaction,Homes Sold,Homes Sold YoY,% of Total Homes Sold (copy) along Is New Construction Transaction,Inventory,Inventory YoY,New Listings,Median Sale Price,Median Sale Price YoY,Median Ppsf,Median Ppsf YoY,Median List Price,Median List Ppsf,Avg Sale To List,Sold Above List,Months Of Supply,Median Dom
"Richmond, VA metro area",9/30/2019,Existing,"4,825",5.10%,90.07%,"2,898",-6.30%,"5,046","$255,000 ",6.30%,$136 ,4.00%,"$249,950 ",$137 ,99.00%,30.90%,1,16
"Richmond, VA metro area",9/30/2019,New Construction,532,-0.90%,9.93%,642,-11.60%,545,"$367,354 ",-0.70%,$153 ,1.90%,"$356,988 ",$158 ,101.40%,36.30%,1,89
"Richmond, VA metro area",8/31/2019,Existing,"5,328",0.40%,90.58%,"2,856",-7.10%,"5,350","$260,000 ",4.90%,$138 ,4.20%,"$249,950 ",$136 ,99.30%,33.50%,1,13
"Richmond, VA metro area",8/31/2019,New Construction,554,-4.80%,9.42%,634,-13.60%,574,"$365,690 ",-2.30%,$152 ,0.50%,"$355,910 ",$159 ,101.40%,37.20%,1,88
"Richmond, VA metro area",7/31/2019,Existing,"5,394",3.00%,91.08%,"2,898",-1.80%,"5,995","$257,500 ",5.10%,$138 ,4.10%,"$259,000 ",$137 ,99.40%,34.90%,1,12
"Richmond, VA metro area",7/31/2019,New Construction,528,-3.10%,8.92%,625,-14.70%,610,"$365,000 ",-0.10%,$153 ,1.10%,"$358,450 ",$159 ,101.30%,34.30%,1,110
"Richmond, VA metro area",6/30/2019,Existing,"4,923",0.00%,90.40%,"2,822",-1.60%,"6,345","$255,000 ",5.40%,$136 ,4.10%,"$261,950 ",$137 ,99.40%,34.80%,1,12
"Richmond, VA metro area",6/30/2019,New Construction,523,-2.40%,9.60%,684,-6.00%,618,"$359,574 ",3.20%,$153 ,1.20%,"$359,018 ",$159 ,101.10%,32.70%,1,117
"Richmond, VA metro area",5/31/2019,Existing,"4,383",-0.30%,89.45%,"2,794",1.60%,"6,296","$249,950 ",6.40%,$135 ,4.40%,"$265,000 ",$137 ,99.20%,32.50%,1,15
"Richmond, VA metro area",5/31/2019,New Construction,517,0.00%,10.55%,656,-11.60%,598,"$356,050 ",2.00%,$156 ,5.00%,"$352,670 ",$154 ,101.10%,31.70%,1,115
"Richmond, VA metro area",4/30/2019,Existing,"3,576",-2.70%,88.69%,"2,614",8.60%,"5,379","$239,950 ",4.60%,$131 ,4.70%,"$267,700 ",$136 ,98.80%,28.50%,1,21
"Richmond, VA metro area",4/30/2019,New Construction,456,-10.10%,11.31%,668,-5.90%,566,"$358,900 ",1.10%,$157 ,6.10%,"$349,950 ",$152 ,101.00%,33.80%,2,106
"Richmond, VA metro area",3/31/2019,Existing,"3,126",0.10%,88.36%,"2,307",4.90%,"4,455","$234,000 ",5.80%,$128 ,3.30%,"$259,000 ",$135 ,98.30%,24.50%,1,29
